		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
29/07/19	20:00	22.8	23.2	22.0	76	18.3	0.0	SW	0.00	4.8	W	22.8	23.6	23.6	---	1009.3	0.00	0.0	---	---	---	---	---	---	0.000	0.185	26.6	55	16.8	27.0	9.85	1.1513	0.00	931	1	68.1	60
29/07/19	21:00	21.2	22.0	20.6	81	17.8	0.0	SE	0.00	4.8	SW	21.2	21.9	21.9	---	1010.0	0.00	0.0	---	---	---	---	---	---	0.000	0.118	26.2	59	17.6	26.7	10.58	1.1526	0.00	1405	1	100.0	60
29/07/19	22:00	20.5	20.7	20.4	80	16.9	0.0	SW	0.00	6.4	WSW	20.5	21.3	21.3	---	1011.3	0.00	0.0	---	---	---	---	---	---	0.000	0.090	25.9	59	17.3	26.4	10.60	1.1555	0.00	1405	1	100.0	60
29/07/19	23:00	20.8	21.1	20.6	79	17.1	0.0	ESE	0.00	4.8	ESE	20.8	21.6	21.6	---	1011.4	0.00	0.0	---	---	---	---	---	---	0.000	0.104	25.8	59	17.2	26.2	10.61	1.1565	0.00	1405	1	100.0	60
30/07/19	00:00	20.3	20.8	19.8	84	17.5	1.6	ESE	1.61	9.7	ESE	20.3	21.1	21.1	---	1011.6	0.00	0.0	---	---	---	---	---	---	0.000	0.081	25.5	60	17.2	25.9	10.83	1.1578	0.00	1405	1	100.0	60
30/07/19	1:00	19.6	19.8	19.4	86	17.1	0.0	ESE	0.00	6.4	ESE	19.6	20.3	20.3	---	1010.3	0.00	0.0	---	---	---	---	---	---	0.000	0.051	25.3	61	17.2	25.7	11.00	1.1571	0.00	1404	1	100.0	60
30/07/19	2:00	19.7	20.0	19.5	83	16.8	1.6	ESE	1.61	6.4	ESE	19.7	20.4	20.4	---	1009.7	0.00	0.0	---	---	---	---	---	---	0.000	0.058	25.1	61	17.1	25.5	11.01	1.1572	0.00	1405	1	100.0	60
30/07/19	3:00	19.7	19.9	19.4	79	15.9	1.6	ESE	1.61	8.0	ESE	19.7	20.2	20.2	---	1009.1	0.00	0.0	---	---	---	---	---	---	0.000	0.056	24.9	61	16.9	25.2	11.01	1.1577	0.00	1405	1	100.0	60
30/07/19	4:00	19.7	19.9	19.4	77	15.6	0.0	ESE	0.00	3.2	ESE	19.7	20.2	20.2	---	1008.7	0.00	0.0	---	---	---	---	---	---	0.000	0.058	24.7	60	16.4	24.9	10.89	1.1588	0.00	1404	1	100.0	60
30/07/19	5:00	19.8	20.2	19.5	80	16.3	1.6	ESE	1.61	6.4	ESE	19.8	20.4	20.4	---	1009.2	0.00	0.0	---	---	---	---	---	---	0.000	0.062	24.4	59	15.9	24.6	10.71	1.1612	0.00	1404	1	100.0	60
30/07/19	6:00	19.2	19.5	18.9	81	15.8	1.6	ESE	1.61	8.0	ESE	19.2	19.7	19.7	---	1009.6	0.00	0.0	---	---	---	---	---	---	0.000	0.035	24.2	61	16.2	24.4	11.04	1.1621	0.00	1405	1	100.0	60
30/07/19	7:00	19.3	19.4	19.2	80	15.8	1.6	ESE	1.61	6.4	ESE	19.3	19.9	19.9	---	1009.9	0.00	0.0	---	---	---	---	---	---	0.000	0.042	23.8	62	16.1	24.2	11.25	1.1637	0.00	1405	1	100.0	60
30/07/19	8:00	19.3	19.4	19.2	81	16.0	1.6	ESE	1.61	8.0	ESE	19.3	19.9	19.9	---	1011.0	0.00	0.0	---	---	---	---	---	---	0.000	0.042	23.6	62	15.9	23.9	11.26	1.1662	0.00	1405	1	100.0	60
30/07/19	9:00	19.7	19.8	19.3	80	16.1	1.6	ESE	1.61	8.0	ESE	19.7	20.2	20.2	---	1011.8	0.00	0.0	---	---	---	---	---	---	0.000	0.056	23.6	63	16.2	23.9	11.46	1.1668	0.00	1404	1	100.0	60
30/07/19	10:00	20.5	20.9	19.8	79	16.7	1.6	ESE	1.61	6.4	SE	20.5	21.2	21.2	---	1012.4	0.00	0.0	---	---	---	---	---	---	0.000	0.090	23.6	64	16.4	24.0	11.65	1.1672	0.00	1405	1	100.0	60
30/07/19	11:00	21.3	21.7	20.9	78	17.3	1.6	ESE	1.61	6.4	ESE	21.3	22.0	22.0	---	1012.7	0.00	0.0	---	---	---	---	---	---	0.000	0.125	23.8	67	17.3	24.3	12.25	1.1656	0.00	1405	1	100.0	60
