		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Bar  	Rain	Rate	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	Samp	Tx 	Recept	Int.
01/04/19	14:00	30.0	31.2	30.0	51	18.8	0.0	---	0.00	0.0	---	30.0	31.3	31.3	1005.4	6.60	6.6	0.000	0.486	31.2	48	18.9	32.7	8.69	1.1263	1325	1	96.9	60
01/04/19	15:00	28.3	30.0	28.3	58	19.2	6.4	WSW	6.44	24.1	WSW	28.3	29.6	29.6	1003.6	2.03	1828.8	0.000	0.414	29.7	52	18.8	30.9	9.35	1.1303	1346	1	98.4	60
01/04/19	16:00	27.6	28.6	27.6	62	19.7	8.0	WSW	8.05	22.5	SSW	27.6	29.0	29.0	1002.0	0.00	0.0	0.000	0.387	29.0	55	19.0	30.3	9.85	1.1305	1394	1	100.0	60
01/04/19	17:00	26.9	27.7	26.8	66	20.0	8.0	WSW	8.05	24.1	WSW	26.9	28.3	28.3	1001.1	0.00	0.0	0.000	0.356	28.4	58	19.4	29.8	10.35	1.1310	1330	1	97.2	60
01/04/19	18:00	26.4	26.9	26.2	64	19.0	6.4	WSW	6.44	19.3	W	26.4	27.4	27.4	1002.5	0.00	0.0	0.000	0.336	28.1	57	18.8	29.2	10.20	1.1348	1372	1	100.0	60
01/04/19	19:00	25.4	26.4	25.4	70	19.6	3.2	WSW	3.22	12.9	WSW	25.4	26.5	26.5	1002.1	0.00	0.0	0.000	0.296	27.9	58	18.9	29.1	10.35	1.1348	1400	1	100.0	60
01/04/19	20:00	24.5	25.4	24.5	74	19.6	3.2	WSW	3.22	12.9	WSW	24.5	25.5	25.5	1002.5	0.00	0.0	0.000	0.257	27.1	62	19.1	28.1	11.14	1.1382	1402	1	100.0	60
01/04/19	21:00	24.1	24.5	24.1	74	19.1	3.2	WSW	3.22	11.3	W	24.1	25.0	25.0	1004.3	0.00	0.0	0.000	0.238	26.9	61	18.7	27.8	10.95	1.1417	1395	1	100.0	60
01/04/19	22:00	23.6	24.1	23.6	77	19.3	3.2	WSW	3.22	12.9	SW	23.6	24.5	24.5	1005.3	0.00	0.0	0.000	0.218	26.8	61	18.6	27.6	10.95	1.1434	1400	1	100.0	60
