		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Bar  	Rain	Rate	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	Samp	Tx 	Recept	Int.
02/04/19	17:00	28.0	33.1	26.9	60	19.5	4.8	SSE	4.83	17.7	SSE	28.0	29.3	29.3	1005.8	0.00	0.0	0.000	0.403	27.6	57	18.3	28.4	10.18	1.1415	1204	1	88.0	60
02/04/19	18:00	27.9	28.7	27.9	61	19.7	4.8	SSE	4.83	14.5	S	27.9	29.3	29.3	1005.5	0.00	0.0	0.000	0.398	27.3	58	18.3	28.2	10.35	1.1420	1401	1	100.0	60
02/04/19	19:00	24.2	27.9	24.2	73	19.1	1.6	SSE	1.61	9.7	SSW	24.2	25.1	25.1	1005.8	0.00	0.0	0.000	0.245	27.1	59	18.4	27.8	10.55	1.1433	1404	1	100.0	60
02/04/19	20:00	23.0	24.2	23.0	77	18.7	0.0	NW	0.00	3.2	WNW	23.0	23.8	23.8	1006.8	0.00	0.0	0.000	0.194	26.9	61	18.7	27.8	10.95	1.1445	1405	1	100.0	60
02/04/19	21:00	22.3	23.1	22.3	80	18.7	0.0	W	0.00	1.6	WSW	22.3	23.1	23.1	1007.3	0.00	0.0	0.000	0.164	26.7	61	18.5	27.4	10.95	1.1463	1405	1	100.0	60
02/04/19	22:00	22.1	22.3	21.8	78	18.0	0.0	W	0.00	1.6	W	22.1	22.8	22.8	1008.4	0.00	0.0	0.000	0.155	26.5	60	18.1	27.1	10.76	1.1488	1405	1	100.0	60
02/04/19	23:00	21.3	22.3	21.3	82	18.1	0.0	---	0.00	0.0	---	21.3	22.1	22.1	1008.9	0.00	0.0	0.000	0.123	26.3	60	17.9	26.9	10.77	1.1503	1405	1	100.0	60
03/04/19	00:00	21.2	21.6	21.1	82	18.0	0.0	W	0.00	1.6	W	21.2	22.1	22.1	1008.9	0.00	0.0	0.000	0.120	26.2	60	17.8	26.7	10.79	1.1511	1405	1	100.0	60
03/04/19	1:00	20.9	21.4	20.8	84	18.1	0.0	W	0.00	1.6	W	20.9	21.8	21.8	1008.4	0.00	0.0	0.000	0.109	26.1	61	17.9	26.6	10.97	1.1507	1404	1	100.0	60
03/04/19	2:00	20.3	20.9	20.3	89	18.5	0.0	---	0.00	0.0	---	20.3	21.4	21.4	1007.5	0.00	0.0	0.000	0.083	25.9	62	18.1	26.6	11.18	1.1500	1405	1	100.0	60
03/04/19	3:00	21.2	21.2	20.3	86	18.7	0.0	NW	0.00	1.6	W	21.2	22.2	22.2	1007.0	0.00	0.0	0.000	0.118	25.8	64	18.5	26.6	11.58	1.1491	1405	1	100.0	60
03/04/19	4:00	21.6	21.7	21.2	86	19.1	0.0	NE	0.00	1.6	N	21.6	22.6	22.6	1007.6	0.00	0.0	0.000	0.134	25.7	64	18.4	26.4	11.58	1.1505	1404	1	100.0	60
03/04/19	5:00	21.3	21.6	21.3	87	19.1	0.0	---	0.00	0.0	---	21.3	22.4	22.4	1007.8	0.00	0.0	0.000	0.125	25.7	64	18.3	26.4	11.59	1.1509	1405	1	100.0	60
03/04/19	6:00	21.2	21.3	21.1	88	19.2	0.0	---	0.00	0.0	---	21.2	22.3	22.3	1007.9	0.00	0.0	0.000	0.120	25.6	65	18.5	26.3	11.79	1.1510	1404	1	100.0	60
03/04/19	7:00	21.6	21.6	21.2	86	19.1	0.0	NE	0.00	1.6	NE	21.6	22.6	22.6	1008.7	0.00	0.0	0.000	0.134	25.6	66	18.7	26.3	11.99	1.1519	1405	1	100.0	60
03/04/19	8:00	22.5	22.5	21.6	79	18.7	0.0	NNE	0.00	1.6	NE	22.5	23.3	23.3	1009.7	0.00	0.0	0.000	0.174	25.5	65	18.4	26.2	11.79	1.1537	1405	1	100.0	60
03/04/19	9:00	27.3	27.6	22.5	60	18.9	0.0	SSE	0.00	4.8	SSE	27.3	28.3	28.3	1010.8	0.00	0.0	0.000	0.375	25.7	63	18.1	26.4	11.38	1.1546	1405	1	100.0	60
03/04/19	10:00	29.3	29.3	27.2	55	19.4	1.6	SSE	1.61	9.7	SSE	29.3	30.9	30.9	1010.5	0.00	0.0	0.000	0.458	26.3	61	18.2	26.9	10.96	1.1521	1405	1	100.0	60
03/04/19	11:00	29.9	30.1	29.3	54	19.6	3.2	SSE	3.22	16.1	SSE	29.9	31.7	31.7	1010.2	0.00	0.0	0.000	0.484	27.0	58	18.0	27.7	10.35	1.1492	1405	1	100.0	60
03/04/19	12:00	30.8	30.8	29.7	56	21.0	4.8	SSE	4.83	17.7	SSW	30.8	33.6	33.6	1009.5	0.00	0.0	0.000	0.519	27.4	61	19.3	28.6	10.95	1.1447	1404	1	100.0	60
03/04/19	13:00	31.2	31.9	30.6	54	20.8	4.8	SSE	4.83	16.1	SSE	31.2	34.0	34.0	1008.3	0.00	0.0	0.000	0.537	28.1	60	19.6	29.4	10.75	1.1405	1405	1	100.0	60
03/04/19	14:00	31.7	32.1	31.2	54	21.2	6.4	SSE	6.44	19.3	SE	31.7	34.8	34.8	1006.7	0.00	0.0	0.000	0.556	28.4	60	19.9	30.0	10.75	1.1369	1405	1	100.0	60
03/04/19	15:00	31.6	31.8	31.3	52	20.6	8.0	SSE	8.05	20.9	S	31.6	34.3	34.3	1005.5	0.00	0.0	0.000	0.553	28.6	56	18.9	29.8	10.05	1.1364	1405	1	100.0	60
03/04/19	16:00	30.7	31.6	30.5	58	21.5	8.0	SSE	8.05	22.5	SSE	30.7	33.9	33.9	1004.8	0.00	0.0	0.000	0.516	28.6	59	19.8	30.2	10.55	1.1340	1405	1	100.0	60
03/04/19	17:00	27.8	31.2	27.8	63	20.1	6.4	SSE	6.44	17.7	SSW	27.8	29.5	29.5	1004.2	0.00	0.0	0.000	0.396	28.5	60	20.0	30.2	10.75	1.1334	1405	1	100.0	60
03/04/19	18:00	26.9	27.9	26.9	68	20.5	4.8	SSE	4.83	14.5	S	26.9	28.7	28.7	1003.9	0.00	0.0	0.000	0.359	28.3	61	20.0	29.9	10.95	1.1337	1405	1	100.0	60
03/04/19	19:00	25.9	26.9	25.9	71	20.2	1.6	SSE	1.61	11.3	SE	25.9	27.3	27.3	1004.3	0.00	0.0	0.000	0.315	28.1	61	19.8	29.6	10.95	1.1354	1405	1	100.0	60
03/04/19	20:00	25.1	25.9	25.1	76	20.5	0.0	SSE	0.00	4.8	S	25.1	26.4	26.4	1004.9	0.00	0.0	0.000	0.280	27.9	62	19.9	29.4	11.11	1.1366	1405	1	100.0	60
03/04/19	21:00	24.6	25.1	24.6	78	20.5	0.0	S	0.00	1.6	S	24.6	25.8	25.8	1005.6	0.00	0.0	0.000	0.259	27.7	63	20.0	29.3	11.31	1.1378	1405	1	100.0	60
03/04/19	22:00	24.1	24.6	24.1	80	20.4	0.0	---	0.00	0.0	---	24.1	25.3	25.3	1006.9	0.00	0.0	0.000	0.241	27.6	63	19.9	29.1	11.32	1.1403	1405	1	100.0	60
03/04/19	23:00	24.0	24.1	23.8	82	20.7	0.0	SW	0.00	1.6	SW	24.0	25.3	25.3	1007.6	0.00	0.0	0.000	0.236	27.4	64	20.0	29.0	11.52	1.1412	1404	1	100.0	60
04/04/19	00:00	23.8	24.1	23.7	82	20.5	0.0	SSE	0.00	1.6	SE	23.8	25.0	25.0	1007.5	0.00	0.0	0.000	0.227	27.3	65	20.1	28.8	11.73	1.1415	1405	1	100.0	60
04/04/19	1:00	23.7	23.8	23.6	84	20.8	0.0	SW	0.00	1.6	SSE	23.7	24.9	24.9	1006.3	0.00	0.0	0.000	0.222	27.2	65	20.0	28.7	11.73	1.1409	1404	1	100.0	60
04/04/19	2:00	23.2	23.6	23.1	87	20.9	0.0	---	0.00	0.0	---	23.2	24.4	24.4	1005.7	0.00	0.0	0.000	0.204	27.1	66	20.2	28.7	11.93	1.1400	1405	1	100.0	60
04/04/19	3:00	23.2	23.3	23.1	86	20.7	0.0	W	0.00	1.6	SW	23.2	24.3	24.3	1005.7	0.00	0.0	0.000	0.201	27.0	67	20.3	28.6	12.14	1.1402	1405	1	100.0	60
04/04/19	4:00	23.2	23.3	23.1	84	20.3	0.0	SSE	0.00	6.4	SSE	23.2	24.3	24.3	1006.0	0.00	0.0	0.000	0.201	26.9	67	20.2	28.4	12.14	1.1411	1405	1	100.0	60
04/04/19	5:00	22.6	23.2	22.6	83	19.6	0.0	WNW	0.00	3.2	W	22.6	23.6	23.6	1006.1	0.00	0.0	0.000	0.178	26.8	66	19.9	28.2	11.95	1.1423	1405	1	100.0	60
04/04/19	6:00	21.7	22.6	21.7	85	19.0	0.0	---	0.00	0.0	---	21.7	22.7	22.7	1006.0	0.00	0.0	0.000	0.139	26.7	64	19.3	27.8	11.55	1.1436	1405	1	100.0	60
04/04/19	7:00	21.2	21.7	21.1	87	19.0	0.0	N	0.00	1.6	N	21.2	22.3	22.3	1006.6	0.00	0.0	0.000	0.120	26.4	64	19.1	27.4	11.56	1.1455	1405	1	100.0	60
04/04/19	8:00	23.9	23.9	21.2	74	19.0	0.0	WNW	0.00	3.2	WNW	23.9	24.8	24.8	1007.6	0.00	0.0	0.000	0.231	26.6	63	19.0	27.6	11.35	1.1461	1405	1	100.0	60
04/04/19	9:00	27.3	27.4	23.9	61	19.1	1.6	WNW	1.61	4.8	WNW	27.3	28.4	28.4	1007.8	0.00	0.0	0.000	0.375	26.8	61	18.7	27.7	10.95	1.1460	1405	1	100.0	60
04/04/19	10:00	29.7	29.8	27.4	53	19.1	3.2	SSE	3.22	9.7	SSE	29.7	31.2	31.2	1008.3	0.00	0.0	0.000	0.475	27.2	59	18.5	28.1	10.55	1.1454	1405	1	100.0	60
04/04/19	11:00	30.7	30.9	29.8	55	20.6	4.8	SSE	4.83	12.9	SE	30.7	33.3	33.3	1008.4	0.00	0.0	0.000	0.516	27.9	58	18.9	29.0	10.35	1.1423	1405	1	100.0	60
04/04/19	12:00	31.4	31.4	30.4	55	21.3	6.4	SSE	6.44	16.1	SE	31.4	34.6	34.6	1007.7	0.00	0.0	0.000	0.546	28.4	59	19.7	29.9	10.55	1.1382	1404	1	100.0	60
04/04/19	13:00	31.7	31.7	29.6	53	21.0	8.0	SSE	8.05	24.1	S	31.7	34.7	34.7	1006.5	0.00	0.0	0.000	0.558	28.7	59	19.9	30.3	10.55	1.1357	1402	1	100.0	60
04/04/19	14:00	31.0	31.8	30.9	55	20.9	8.0	SSE	8.05	22.5	SE	31.0	33.8	33.8	1005.4	0.00	0.0	0.000	0.528	28.9	56	19.2	30.3	10.05	1.1345	1405	1	100.0	60
04/04/19	15:00	29.2	31.9	29.2	62	21.2	6.4	SSE	6.44	17.7	SSE	29.2	31.8	31.8	1004.8	0.00	0.0	0.000	0.454	28.8	59	20.0	30.5	10.55	1.1330	1404	1	100.0	60
04/04/19	16:00	25.2	29.2	24.6	79	21.3	3.2	SSE	3.22	16.1	SE	25.2	26.8	26.8	1003.2	0.20	0.0	0.000	0.287	27.9	63	20.2	29.7	11.30	1.1339	1404	1	100.0	60
04/04/19	17:00	28.1	28.1	25.2	66	21.1	3.2	SSE	3.22	9.7	S	28.1	30.3	30.3	1003.3	0.00	0.0	0.000	0.405	27.9	63	20.2	29.7	11.30	1.1339	1405	1	100.0	60
